R_MPCH,XI_LYALYB_LYA,ERR_LYALYB_LYA,MODEL_LYALYB_LYA,MODEL_NO_BAO_LYALYB_LYA,XI_LYALYB_QSO,ERR_LYALYB_QSO,MODEL_LYALYB_QSO,MODEL_NO_BAO_LYALYB_QSO,XI_LYALYB_LYA+LYALYB_QSO,ERR_LYALYB_LYA+LYALYB_QSO,MODEL_LYALYB_LYA+LYALYB_QSO,MODEL_NO_BAO_LYALYB_LYA+LYALYB_QSO
12.0,0.0015357946503012309,1.417872498093033e-05,0.001517361524602147,0.0014937807113490555,-0.023081932819286707,0.0001955480830396889,-0.02262217132439092,-0.02269264846171734,0.0017489561911357722,1.104128113544502e-05,0.0017214919250797315,0.0017096888769913326
16.0,0.0008981707057307271,1.0831431314485951e-05,0.0008835622810481854,0.0008702688520424636,-0.01363649645836194,0.0001474809954639102,-0.013399430531023474,-0.013452198901987216,0.0010297264270688505,8.391899565939613e-06,0.0010124288359093017,0.00100634751309773
20.0,0.0005622910901521496,8.75968589432082e-06,0.0005300047517977567,0.0005227334470746144,-0.008665964535756144,0.00011912628882720434,-0.008325819072914874,-0.008367706914509833,0.000649417712698291,6.7834479594252895e-06,0.0006178011983810437,0.0006149498445089096
24.0,0.00034952528408650887,7.345412787399237e-06,0.0003406246038397924,0.00033648714287740447,-0.00553437993302326,9.815818893648793e-05,-0.005296465524590004,-0.005331625619357788,0.0004102534633315391,5.6480717882757345e-06,0.0003962386061632328,0.0003950858156789713
28.0,0.00020916684667652156,6.2935613279219295e-06,0.00021677759619544718,0.00021528948977681531,-0.0037784229365045454,8.370679547043791e-05,-0.0034981647025099085,-0.0035295042324575087,0.00026296751173623923,4.829940647150062e-06,0.0002570823937557644,0.0002573652922913402
32.0,0.00013940406736854174,5.476235675305912e-06,0.00014191287100087492,0.00014210541438909182,-0.002291793847059074,7.299776469804191e-05,-0.0023426763587665505,-0.0023716144771875765,0.00016681292169267028,4.206518848698803e-06,0.00017017059779456085,0.00017135191860632114
36.0,7.390884257816899e-05,4.905930560648307e-06,8.401938012910168e-05,8.558697283565894e-05,-0.0015091760096104527,6.497344725380431e-05,-0.0015354300280318897,-0.00156271747509254,9.94865772633903e-05,3.758413082083988e-06,0.00010639657208935916,0.0001083311096994121
40.0,4.1803783352459694e-05,4.439165329080861e-06,5.243851104606879e-05,5.453561344282877e-05,-0.0009212455700095641,5.933270747287348e-05,-0.0010085793100855173,-0.0010347950881835215,5.860320953421376e-05,3.4136504353043825e-06,6.810402515319291e-05,7.030832691776703e-05
44.0,1.972849089849419e-05,4.00370197047125e-06,2.967203989108198e-05,3.1861402607359254e-05,-0.0006414820392831669,5.343647743074532e-05,-0.0006764396468230835,-0.0007020419760905822,3.5285756364073334e-05,3.0769979513683295e-06,4.2446810952344556e-05,4.468318614159859e-05
48.0,5.664283479184393e-06,3.672650347193877e-06,1.7635318383912523e-05,2.0062508307486934e-05,-0.000337123401274158,4.865340069043777e-05,-0.0004521962165072116,-0.0004774872185837301,1.5854926816607514e-05,2.8139209433823178e-06,2.7159238710502234e-05,2.9524071154616688e-05
