R_MPCH,XI_LYALYB_LYA,ERR_LYALYB_LYA,MODEL_NO_BAO_LYALYB_LYA,MODEL_LYALYB_LYA,XI_LYALYB_QSO,ERR_LYALYB_QSO,MODEL_NO_BAO_LYALYB_QSO,MODEL_LYALYB_QSO,XI_LYALYB_LYA+LYALYB_QSO,ERR_LYALYB_LYA+LYALYB_QSO,MODEL_NO_BAO_LYALYB_LYA+LYALYB_QSO,MODEL_LYALYB_LYA+LYALYB_QSO
2.0,0.009795842545734044,6.754034374477278e-05,0.008428027717338589,0.006698476569102719,-0.0931501432709132,0.0009929248230568122,-0.0938835941274993,-0.09444551607194769,0.008812363469129236,5.145478439310256e-05,0.008043108818397952,0.007058145646693241
6.0,0.004493478379849973,2.6632604607763247e-05,0.004166567687230397,0.003924783244789216,-0.05423600567265907,0.00040158094500636804,-0.05489707630936222,-0.05490492721087159,0.0044305087856728684,2.050343849658243e-05,0.004258293710495771,0.004115246800029881
10.0,0.0020679191944577595,1.706498887954542e-05,0.001908046846433382,0.0017723201846484265,-0.030050217614871037,0.0002442139032641791,-0.029483269680677108,-0.029348367126122557,0.002213371149769483,1.2852483384857014e-05,0.00210305768079667,0.0020213984324079096
14.0,0.0011754542213560778,1.2442786086737663e-05,0.001053190744373753,0.000983782799582046,-0.017536737209225238,0.00017650165351052553,-0.01654753392958392,-0.016377650200824836,0.0012748888623351853,9.335368616689572e-06,0.0011714764907558384,0.0011264665231206857
18.0,0.00069031402679631,9.904670657329956e-06,0.0006150555442762692,0.0005711414698424762,-0.01068693284227005,0.00013655348185064842,-0.010221980077155563,-0.010090328308236746,0.0007645941921724079,7.3377130717361205e-06,0.0007065080903088375,0.0006776547936484356
22.0,0.0004509323834779358,8.129531835752473e-06,0.0004021291160669572,0.00037441533376455507,-0.006880533229874599,0.00011249022480403386,-0.00643042430696765,-0.00632143064120785,0.0004956480300254197,6.032544940895053e-06,0.0004525940858481609,0.0004334155218029344
26.0,0.00026600698140093643,6.97665832676149e-06,0.00025002983338015994,0.00023002794161220265,-0.004540975829229651,9.357536360249501e-05,-0.00415623932899903,-0.004063661976332726,0.00031122091473192884,5.103825003175604e-06,0.00028836354806535637,0.00027421644141821197
30.0,0.0001736154325341738,5.986608131462983e-06,0.000164610895678444,0.0001499216645048446,-0.0029291824888784948,8.053208219499263e-05,-0.0027687125076603465,-0.0026875883653119307,0.00020175055525564433,4.385513185560398e-06,0.00019096991266971417,0.00018007994816444736
34.0,9.681081749732419e-05,5.261086704120932e-06,9.910283901044882e-05,8.763079841976136e-05,-0.0018476905923192131,7.132186085810803e-05,-0.0018396899076359966,-0.001766647806907981,0.00012024839710510836,3.867809574682069e-06,0.00012119306954362118,0.00011230751920200606
38.0,5.488166853915644e-05,4.7607462496421615e-06,5.887714679019826e-05,4.958621503167815e-05,-0.0011508972677667887,6.442374099220235e-05,-0.0012089147515171527,-0.0011418961764678682,7.200431221462321e-05,3.4970962725806855e-06,7.629717772355648e-05,6.881539614725942e-05
42.0,2.8699935187582218e-05,4.2750874781375425e-06,3.505550178926255e-05,2.743050022977107e-05,-0.0007633700575645829,5.822919185411129e-05,-0.0007943224715998461,-0.0007328454115482356,4.349864755960237e-05,3.1497318519311557e-06,4.808064855711578e-05,4.1693154185722535e-05
46.0,1.1497721252057892e-05,3.904765048463899e-06,1.9957321826635666e-05,1.356720877482429e-05,-0.0004890794796367212,5.2985388072430055e-05,-0.0005371938880518408,-0.00048077734148988617,2.4180563946609018e-05,2.871935475740397e-06,3.052375229162666e-05,2.499517373031134e-05
50.0,-1.0167261204410662e-06,3.623325114712775e-06,1.1184931938295387e-05,5.692145792199323e-06,-0.00022186104066790932,4.847206873168174e-05,-0.00036287833881489705,-0.0003099024807633707,7.730272172129417e-06,2.6474619515006467e-06,1.9502973368514503e-05,1.4595034302455409e-05
54.0,-2.5976966443670073e-06,3.3454723294406552e-06,5.21824961102128e-06,4.231433903812041e-07,-0.00014136534856558285,4.509540573014108e-05,-0.0002134581153828353,-0.00016278860968955706,3.832162756800827e-06,2.4530560697169868e-06,1.070097457401093e-05,6.248721656376248e-06
58.0,-6.09874446981756e-06,3.110854937960441e-06,-1.5109906297865794e-06,-5.836455374478751e-06,-4.424253028608191e-05,4.219985737257772e-05,-0.00012639641843922362,-7.783388844175498e-05,-1.672949393687744e-06,2.287704098679064e-06,3.826104474857173e-06,-2.971018794040409e-07
62.0,-1.0744656743028914e-05,2.9307545334939457e-06,-3.115898762599106e-06,-7.096538518097412e-06,2.3715162324114544e-06,3.955169791922403e-05,-6.68327903335938e-05,-1.949174709922343e-05,-5.870759538116034e-06,2.150133922198558e-06,7.917956508082463e-07,-3.099558981229408e-06
66.0,-5.8758514732907335e-06,2.743371095028863e-06,-4.73902781351738e-06,-8.486074394206337e-06,7.620383322521283e-05,3.731507368399916e-05,-2.461775981231827e-05,2.2319964914902063e-05,-5.976788993874326e-06,2.0199492036979456e-06,-1.6675002858883417e-06,-5.418196647366495e-06
70.0,-8.98610871809866e-06,2.5862978952167775e-06,-6.337278855578048e-06,-9.921428632248166e-06,0.00012358191110995836,3.473188982545625e-05,1.2114503478240596e-05,5.923337502651129e-05,-9.404104113485804e-06,1.893109588102289e-06,-3.84534329729457e-06,-7.515539057643173e-06
74.0,-1.0708483223259787e-05,2.4783799639318617e-06,-7.003425371091435e-06,-1.0462393854843203e-05,6.574047192503925e-05,3.2971673001769114e-05,2.4014311422782253e-05,7.087704120134247e-05,-8.153426058943639e-06,1.8061885951886476e-06,-4.6204317682761555e-06,-8.215399644134063e-06
78.0,-1.3186312284150931e-05,2.3499200839851847e-06,-7.732472149872208e-06,-1.0910718662982e-05,6.212210356542535e-05,3.13716300556867e-05,4.405181479559736e-05,8.820539232229992e-05,-9.347950651623452e-06,1.7153605747476765e-06,-5.76655061809244e-06,-9.11018690565364e-06
82.0,-1.5212203280725561e-05,2.233251682529074e-06,-7.966640274202267e-06,-1.0461321503349905e-05,0.00011622535856960258,2.9825818862614085e-05,5.549727542969997e-05,9.007348597104424e-05,-1.245055172079212e-05,1.6304959840531015e-06,-6.319757280985327e-06,-8.941177303885984e-06
86.0,-7.879874547697285e-06,2.133719956584314e-06,-7.887152798207602e-06,-8.959088402160504e-06,6.46388862900766e-05,2.8568198549727025e-05,6.41817014450411e-05,7.673725519728612e-05,-6.618390763937797e-06,1.5596534944616477e-06,-6.605246451349692e-06,-7.645751042328113e-06
90.0,-3.6073841742896556e-06,2.0491531779168828e-06,-7.646959090547228e-06,-6.462301744811312e-06,2.315755230956648e-05,2.7258019464208818e-05,6.597435462291594e-05,4.3885594542216834e-05,-2.784491013659142e-06,1.493291778440813e-06,-6.536026249294403e-06,-5.078235665692933e-06
94.0,-1.0984737730357204e-06,1.972751377756085e-06,-7.090158914353512e-06,-3.3361208020532724e-06,3.53804766645909e-05,2.599278848295292e-05,6.916169347914042e-05,7.199087417022057e-06,-1.9188943305157735e-06,1.4311714078536973e-06,-6.352512026859035e-06,-2.0286344614523168e-06
98.0,2.002164270800733e-06,1.8961057014748485e-06,-6.322292360234541e-06,-6.409966352395984e-07,-4.2014571327147824e-05,2.490247282568979e-05,7.025113538953952e-05,-2.1603927483722565e-05,2.6481003176577976e-06,1.3734639500506254e-06,-5.988534596644324e-06,4.851414496927681e-07
102.0,1.0414705566028078e-06,1.834651558725376e-06,-6.062829361745844e-06,2.685436462377927e-07,-6.201110735918811e-05,2.4062584923203996e-05,6.724525764789249e-05,-3.267524662794134e-05,2.9070392333955222e-06,1.32808873824451e-06,-5.737634949437212e-06,1.3849457953833284e-06
106.0,1.55423280846085e-06,1.7553003920029833e-06,-5.661349200353532e-06,-6.548766939166237e-08,-2.0210127193763522e-05,2.3135386745279435e-05,6.357417443818366e-05,-2.3626262170809917e-05,1.5838649084419568e-06,1.2736183947921664e-06,-5.388874296313766e-06,8.605372008415411e-07
110.0,1.1969919546705087e-06,1.686522816346595e-06,-5.2107977928409154e-06,-1.1427340242808743e-06,-1.932240507316098e-05,2.2250382456545873e-05,6.019575430316492e-05,-2.4878276744314074e-06,1.3619903803104978e-06,1.224274626003518e-06,-5.023879866825138e-06,-5.080206053483318e-07
114.0,-2.4746965885095133e-06,1.6365316600550336e-06,-4.988198930208122e-06,-2.4972576074693226e-06,-4.675508100032098e-06,2.1589359772534768e-05,5.7692636001490855e-05,2.08909318797958e-05,-1.1270169302507044e-06,1.1879465238113792e-06,-4.811840484259686e-06,-2.106501819313975e-06
118.0,-2.109990120959409e-06,1.5878611305657874e-06,-4.7214591548179055e-06,-3.5502606355985907e-06,4.1899875365190313e-05,2.0924916586598303e-05,5.4416148117875524e-05,3.945768652565248e-05,-2.6982168039587675e-06,1.1520340117184146e-06,-4.5470905164649075e-06,-3.3638251046318547e-06
122.0,-6.606343319263268e-07,1.5423430773688751e-06,-4.392830513186357e-06,-4.164743041272131e-06,3.6275026676510455e-05,2.0285678466182954e-05,5.2005249974491235e-05,5.256481142121786e-05,-1.7243427872028962e-06,1.1179805957056716e-06,-4.282533118042126e-06,-4.183935947319897e-06
126.0,-4.7155659171083035e-06,1.4962439296206013e-06,-4.1324460761888065e-06,-4.472009586484273e-06,3.39901882049757e-05,1.9681240383003687e-05,4.8966174059417506e-05,5.902032884872245e-05,-3.7682327865174904e-06,1.0846144348343645e-06,-4.030349413130221e-06,-4.59046080405249e-06
130.0,-4.5495811830185395e-06,1.4509614417839236e-06,-3.6414903922483243e-06,-4.2649365655052145e-06,3.7376819121338476e-05,1.9133556213597534e-05,4.5357128330466025e-05,6.0297214665168544e-05,-3.8115296575422868e-06,1.053041034964231e-06,-3.635375540029872e-06,-4.529425300350618e-06
134.0,-6.086625534472146e-06,1.4152326375577205e-06,-3.323365483033923e-06,-4.037876404979683e-06,5.18744058963034e-05,1.8495321084226608e-05,4.22321760274295e-05,5.884773471384535e-05,-5.1613469339336335e-06,1.0227275740575735e-06,-3.349742333288582e-06,-4.3579528042652e-06
138.0,-6.66031783674789e-06,1.378006608852273e-06,-2.9318753952493543e-06,-3.6117002400524776e-06,4.281384668285008e-05,1.8022805558838085e-05,3.922825209771899e-05,5.5701565043182735e-05,-5.1158939114172044e-06,9.961950964781108e-07,-3.0303993150310547e-06,-4.014811653363844e-06
142.0,-5.323484584177203e-06,1.3357821180892014e-06,-2.69994398255085e-06,-3.283670492378205e-06,6.814127635396506e-05,1.744914846167398e-05,3.5864994884241404e-05,5.096151763067543e-05,-5.384580289119153e-06,9.651045528407461e-07,-2.7808467442592216e-06,-3.6628377807588476e-06
146.0,-4.568034348549776e-06,1.3107478015285328e-06,-2.4127254342832867e-06,-2.876074282195596e-06,6.37675277565272e-05,1.7007015667259457e-05,3.26536738854554e-05,4.588250737954406e-05,-4.824775721315709e-06,9.439578497679291e-07,-2.508789496862804e-06,-3.258526592836906e-06
150.0,-3.3862073878357654e-06,1.2650251084331322e-06,-2.121385613341112e-06,-2.4516298040561075e-06,4.881027754535732e-05,1.6618638762649456e-05,3.0014122469290156e-05,4.133109375140801e-05,-3.6326367143419232e-06,9.164508323581271e-07,-2.2543111850904504e-06,-2.8578310923393452e-06
154.0,-2.8284015492886204e-06,1.2348155754698922e-06,-1.909528189193584e-06,-2.1176968647310577e-06,6.165848450121761e-05,1.61483349366224e-05,2.6854231360320693e-05,3.6179643945057556e-05,-3.833050843330408e-06,8.926341573044343e-07,-2.0235438796149237e-06,-2.4885062028221897e-06
158.0,-3.203053804654424e-06,1.2109212213845283e-06,-1.6461941147465948e-06,-1.7528861343384401e-06,5.4969492246512155e-05,1.5750467344206144e-05,2.4415379100442752e-05,3.205589230903924e-05,-3.776572336858338e-06,8.730981520433602e-07,-1.7936115584609488e-06,-2.142552948185707e-06
162.0,-1.6297542629765781e-06,1.1793009757919747e-06,-1.4296503029711012e-06,-1.4365185521172686e-06,3.435934196350761e-05,1.540180586987838e-05,2.181021686147169e-05,2.7869654780699005e-05,-2.1647413926459728e-06,8.519607673444318e-07,-1.5803306906926867e-06,-1.8156751301173384e-06
166.0,-2.2211646092716425e-06,1.162652477565779e-06,-1.2476165565720753e-06,-1.1735666634510622e-06,5.423543340055124e-06,1.5074703761966221e-05,1.929620681650814e-05,2.402206180461886e-05,-1.360203686977209e-06,8.370165724403814e-07,-1.390242858716716e-06,-1.5339853277769146e-06
170.0,-4.960481561716977e-07,1.138343250388945e-06,-1.053174279315483e-06,-8.982671595221894e-07,-1.8496551534345877e-05,1.4787231497791244e-05,1.696870847496639e-05,2.045871384219631e-05,4.5386111383550073e-07,8.20256117350653e-07,-1.1994860130426126e-06,-1.2532885656837507e-06
174.0,-2.6151279637076866e-08,1.1219797868292213e-06,-8.619032079168545e-07,-6.461949117232405e-07,2.2454905723404343e-05,1.4426763582613133e-05,1.4803678780496378e-05,1.7142595770119883e-05,-8.86263578010962e-07,8.044892796652845e-07,-1.0185443191363749e-06,-9.985561677960521e-07
178.0,4.81303158312111e-07,1.1007208111921457e-06,-6.805462618734588e-07,-4.0281922598098554e-07,3.698416073100999e-05,1.4168672971045932e-05,1.2552717890273421e-05,1.3932796901946263e-05,-1.188264845942302e-06,7.896592467396326e-07,-8.376350323414852e-07,-7.482824875234359e-07
182.0,-9.766649840310496e-07,1.0787115539302603e-06,-5.245431392885777e-07,-1.9570565617292047e-07,1.4227615100872215e-05,1.3899756912539392e-05,1.0561199650384796e-05,1.1017858827767347e-05,-1.0549843664292518e-06,7.742587139741058e-07,-6.798556313271e-07,-5.281558325601151e-07
186.0,1.5383532878603832e-07,1.0489999320744296e-06,-3.7726906611468e-07,1.6804451900933827e-09,9.126721368721995e-06,1.3599025406383853e-05,8.716274097492622e-06,8.426941392390594e-06,-2.720557608537256e-07,7.551401113936051e-07,-5.314583210811678e-07,-3.2393177862473916e-07
190.0,-1.4728236136125724e-06,1.0340600018080635e-06,-2.391773793979464e-07,1.8330251667437643e-07,-9.978086777264883e-07,1.338662891057739e-05,6.794852709683604e-06,5.893973149143196e-06,-7.236867906056352e-07,7.438840327161985e-07,-3.8605247432521387e-07,-1.326415693775286e-07
194.0,6.729880929129725e-07,1.0154273057352632e-06,-1.1877970290614133e-07,3.3426954102242124e-07,8.480465107172421e-06,1.3168825563815264e-05,5.222898549600217e-06,3.7749787810947003e-06,2.2140015856734505e-08,7.311067982076226e-07,-2.6280359883991297e-07,2.784216987167006e-08
198.0,1.5644103534009758e-06,9.952018040109811e-07,-1.9733665074369055e-08,4.736198657173204e-07,-3.8317438823709376e-06,1.2889657874177973e-05,3.943659580274291e-06,1.9582661281675646e-06,9.577967690686791e-07,7.16092982436736e-07,-1.6236475442084927e-07,1.6966408731165026e-07
