# ZMIN ZMAX BGS LRG ELG QSO
0.0 0.1 101.0 1.0 10.0 0.0
0.1 0.2 231.0 1.0 21.0 0.0
0.2 0.3 217.0 7.0 12.0 0.0
0.3 0.4 97.0 31.0 6.0 1.0
0.4 0.5 0.0 49.0 6.0 1.0
0.5 0.6 0.0 68.0 5.0 2.0
0.6 0.7 0.0 82.0 13.0 3.0
0.7 0.8 0.0 95.0 54.0 5.0
0.8 0.9 0.0 101.0 102.0 7.0
0.9 1.0 0.0 64.0 120.0 8.0
1.0 1.1 0.0 29.0 114.0 9.0
1.1 1.2 0.0 10.0 108.0 10.0
1.2 1.3 0.0 3.0 103.0 11.0
1.3 1.4 0.0 1.0 97.0 11.0
1.4 1.5 0.0 0.0 87.0 12.0
1.5 1.6 0.0 0.0 55.0 12.0
1.6 1.7 0.0 0.0 9.0 12.0
1.7 1.8 0.0 0.0 0.0 12.0
1.8 1.9 0.0 0.0 0.0 11.0
1.9 2.0 0.0 0.0 0.0 11.0
2.0 2.1 0.0 0.0 0.0 10.0
2.1 2.2 0.0 0.0 0.0 9.0
2.2 2.3 0.0 0.0 0.0 8.0
2.3 2.4 0.0 0.0 0.0 7.0
2.4 2.5 0.0 0.0 0.0 6.0
2.5 2.6 0.0 0.0 0.0 5.0
2.6 2.7 0.0 0.0 0.0 4.0
2.7 2.8 0.0 0.0 0.0 4.0
2.8 2.9 0.0 0.0 0.0 3.0
2.9 3.0 0.0 0.0 0.0 3.0
3.0 3.1 0.0 0.0 0.0 2.0
3.1 3.2 0.0 0.0 0.0 2.0
3.2 3.3 0.0 0.0 0.0 1.0
3.3 3.4 0.0 0.0 0.0 1.0
3.4 3.5 0.0 0.0 0.0 1.0
3.5 3.6 0.0 0.0 0.0 1.0
3.6 3.7 0.0 0.0 0.0 0.0
3.7 3.8 0.0 0.0 0.0 0.0
3.8 3.9 0.0 0.0 0.0 0.0
3.9 4.0 0.0 0.0 0.0 0.0
